"","census_tract","corr"
"12046","B25011_043",0.366802195324695
"7793","B23001_018",0.366059437553819
"7795","B23001_020",0.366059437553819
"4217","B09010_008",0.365686434570251
"4178","B09002_004",0.36540051203417
"4294","B09021_009",0.36537843719651
"16","B01001_017",0.365109573525252
"6297","B17018_007",0.364198769229915
"4448","B11003_007",0.364004567388644
"7180","B19131_020",0.364004567388644
"8112","B23009_024",0.364004567388644
"16125","B28006_018",0.363476634908568
"495","B04005_103",0.362984756023838
"16304","B99186_003.x",0.362889553142932
"16385","B99186_003.y",0.362889553142932
"5957","B17007_027",0.362337326002959
"137","B02015_025",0.362181387975015
"6022","B17010_028",0.361960322681106
"6059","B17012_021",0.361960322681106
"6464","B17022_068",0.3614521649633
"4218","B09010_009",0.361387233201667
"7525","B20005_048",0.360854615534311
"8417","B24012_053",0.360798840164764
"5343","B15002_017",0.360766722484832
"16302","B99185_003",0.360748540602601
"895","B05007_034",0.360561593635495
"16294","B99181_003",0.36037952382301
"16158","B28010_005",0.359696842197602
"7453","B20001_043",0.359246716031063
"16176","B99021_003",0.358873001057918
"16296","B99182_003",0.358787992957789
"405","B04005_013",0.358780567052806
"6095","B17013_023",0.358292585808523
"7806","B23001_031",0.358192950022298
"5263","B15001_019",0.358188859387023
"1671","B07010_042",0.357132254859737
"1398","B06012_004",0.356896636874233
"12945","B25098_009",0.35689559405014
"13325","B25121_074",0.356454793246053
"12791","B25091_018",0.356366975354554
"8452","B24021_016",0.356359286142938
"4658","B12002_047",0.356338409838848
"5294","B15001_050",0.356005251381621
"1703","B07012_004",0.355486485014423
"6627","B17024_117",0.35546090815051
"5918","B17006_016",0.355086838034111
"1605","B07009_011",0.354989194811709
"4997","B13014_020",0.354205149666851
"4915","B13002_012",0.353544105449908
"4941","B13008_010",0.353544105449908
"4993","B13014_016",0.353544105449908
"5013","B13015_010",0.353544105449908
"6885","B18107_009",0.353165848138756
"8779","B24092_005",0.352551678726814
"8242","B23025_002",0.351810315802817
"1357","B06010_021",0.351306710821373
"5953","B17007_023",0.351115813462639
"5986","B17009_012",0.351115813462639
"8114","B23009_026",0.35080960704345
"7855","B23001_080",0.350615134932753
"15914","B27011_003",0.350584013306206
"5161","B14004_015",0.350336878545226
"6497","B17023_021",0.350126068180607
"12545","B25068_027",0.349477557361867
"4195","B09005_002",0.349276291140863
"1451","B07001_038",0.348933975359392
"8236","B23024_026",0.348309272817534
"6680","B18101_014",0.348269261134316
"7878","B23001_103",0.348048873925519
"8243","B23025_003",0.347945192228168
"13473","B25122_117",0.347815297795429
"16347","B99211_003.x",0.347424360619059
"16428","B99211_003.y",0.347424360619059
"2632","B08124_016",0.347149565249659
"6020","B17010_026",0.346898546958635
"15775","B27002_041",0.346857186065255
"6756","B18103_014",0.346812144603988
"1040","B05009_006",0.346800466715857
"8239","B23024_029",0.346640891080288
"4813","B12006_016",0.34638568136597
